parcel_id_clean,key_scope,parcel_id_type,parcel_display,n_findings,volumes,recommendations,record_ids
10/94/42/3,global,lr,10/94/42/3,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3023|annex_25_kenya_agricultural_research_institute_3069
10/94/42/30,global,lr,10/94/42/30,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3050
10/94/42/31,global,lr,10/94/42/31,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3051
10/94/42/32,global,lr,10/94/42/32,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3052
10/94/42/33,global,lr,10/94/42/33,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3053
10/94/42/34,global,lr,10/94/42/34,1,1,Revoke,annex_25_kenya_agricultural_research_institute_3054
10/94/42/35,global,lr,10/94/42/35,12,1,Revoke,annex_25_kenya_agricultural_research_institute_3055|annex_25_kenya_agricultural_research_institute_3056|annex_25_kenya_agricultural_research_institute_3057|annex_25_kenya_agricultural_research_institute_3058|annex_25_kenya_agricultural_research_institute_3059|annex_25_kenya_agricultural_research_institute_3060|annex_25_kenya_agricultural_research_institute_3061|annex_25_kenya_agricultural_research_institute_3062|annex_25_kenya_agricultural_research_institute_3063|annex_25_kenya_agricultural_research_institute_3064|annex_25_kenya_agricultural_research_institute_3065|annex_25_kenya_agricultural_research_institute_3066
10/94/42/4,global,lr,10/94/42/4,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3024|annex_25_kenya_agricultural_research_institute_3070
10/94/42/5,global,lr,10/94/42/5,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3025|annex_25_kenya_agricultural_research_institute_3071
10/94/42/6,global,lr,10/94/42/6,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3026|annex_25_kenya_agricultural_research_institute_3072
10/94/42/7,global,lr,10/94/42/7,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3027|annex_25_kenya_agricultural_research_institute_3073
10/94/42/8,global,lr,10/94/42/8,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3028|annex_25_kenya_agricultural_research_institute_3074
10/94/42/9,global,lr,10/94/42/9,2,1,Revoke,annex_25_kenya_agricultural_research_institute_3029|annex_25_kenya_agricultural_research_institute_3075
10/94/45,global,lr,10/94/45,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2906
10/94/46/1,global,lr,10/94/46/1,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2921
10/94/46/10,global,lr,10/94/46/10,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2930
10/94/46/11,global,lr,10/94/46/11,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2931
10/94/46/12,global,lr,10/94/46/12,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2932
10/94/46/13,global,lr,10/94/46/13,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2933
10/94/46/14,global,lr,10/94/46/14,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2934
10/94/46/15,global,lr,10/94/46/15,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2935
10/94/46/16,global,lr,10/94/46/16,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2936
10/94/46/17,global,lr,10/94/46/17,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2937
10/94/46/18,global,lr,10/94/46/18,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2938
10/94/46/19,global,lr,10/94/46/19,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2939
10/94/46/2,global,lr,10/94/46/2,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2922
10/94/46/20,global,lr,10/94/46/20,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2940
10/94/46/21,global,lr,10/94/46/21,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2941
10/94/46/22,global,lr,10/94/46/22,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2942
10/94/46/23,global,lr,10/94/46/23,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2943
10/94/46/24,global,lr,10/94/46/24,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2944
10/94/46/25,global,lr,10/94/46/25,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2945
10/94/46/26,global,lr,10/94/46/26,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2946
10/94/46/27,global,lr,10/94/46/27,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2947
10/94/46/28,global,lr,10/94/46/28,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2948
10/94/46/29,global,lr,10/94/46/29,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2949
10/94/46/3,global,lr,10/94/46/3,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2923
10/94/46/30,global,lr,10/94/46/30,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2950
10/94/46/31,global,lr,10/94/46/31,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2951
10/94/46/32,global,lr,10/94/46/32,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2952
10/94/46/33,global,lr,10/94/46/33,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2953
10/94/46/34,global,lr,10/94/46/34,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2954
10/94/46/35,global,lr,10/94/46/35,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2955
10/94/46/36,global,lr,10/94/46/36,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2956
10/94/46/37,global,lr,10/94/46/37,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2957
10/94/46/38,global,lr,10/94/46/38,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2958
10/94/46/39,global,lr,10/94/46/39,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2959
10/94/46/4,global,lr,10/94/46/4,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2924
10/94/46/40,global,lr,10/94/46/40,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2960
10/94/46/41,global,lr,10/94/46/41,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2961
10/94/46/42,global,lr,10/94/46/42,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2962
10/94/46/43,global,lr,10/94/46/43,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2963
10/94/46/44,global,lr,10/94/46/44,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2964
10/94/46/45,global,lr,10/94/46/45,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2965
10/94/46/46,global,lr,10/94/46/46,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2966
10/94/46/5,global,lr,10/94/46/5,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2925
10/94/46/6,global,lr,10/94/46/6,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2926
10/94/46/7,global,lr,10/94/46/7,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2927
10/94/46/8,global,lr,10/94/46/8,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2928
10/94/46/9,global,lr,10/94/46/9,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2929
10/94/48/1,global,lr,10/94/48/1,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2967
10/94/48/10,global,lr,10/94/48/10,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2976
10/94/48/11,global,lr,10/94/48/11,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2977
10/94/48/12,global,lr,10/94/48/12,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2978
10/94/48/13,global,lr,10/94/48/13,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2979
10/94/48/14,global,lr,10/94/48/14,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2980
10/94/48/15,global,lr,10/94/48/15,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2981
10/94/48/17,global,lr,10/94/48/17,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2982
10/94/48/18,global,lr,10/94/48/18,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2983
10/94/48/19,global,lr,10/94/48/19,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2984
10/94/48/2,global,lr,10/94/48/2,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2968
10/94/48/20,global,lr,10/94/48/20,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2985
10/94/48/21,global,lr,10/94/48/21,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2986
10/94/48/22,global,lr,10/94/48/22,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2987
10/94/48/23,global,lr,10/94/48/23,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2988
10/94/48/24,global,lr,10/94/48/24,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2989
10/94/48/25,global,lr,10/94/48/25,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2990
10/94/48/3,global,lr,10/94/48/3,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2969
10/94/48/4,global,lr,10/94/48/4,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2970
10/94/48/5,global,lr,10/94/48/5,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2971
10/94/48/6,global,lr,10/94/48/6,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2972
10/94/48/7,global,lr,10/94/48/7,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2973
10/94/48/8,global,lr,10/94/48/8,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2974
10/94/48/9,global,lr,10/94/48/9,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2975
10/94/53A,global,lr,10/94/53A,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2909
10/94/53B,global,lr,10/94/53B,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2910
10/94/54,global,lr,10/94/54,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2908
10/94/55/B,global,lr,10/94/55/B,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2874
10/94/55/C,global,lr,10/94/55/C,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2881
10/94/55/D,global,lr,10/94/55/D,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2880
10/94/55/E,global,lr,10/94/55/E,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2877
10/94/55/F,global,lr,10/94/55/F,1,1,Revoke,annex_25_kenya_agricultural_research_institute_2878
