province,district,station,forest,legal_notice,name_of_excision,excision_area_ha,bp_no,year,purpose,request,beneficiary,status,legal_procedure,recommendation,remarks,source_page,flag_source_csv
Central,Kiambu,Kikuyu Escarpment,Kikuyu Escarpment,105 of 1973,,45.33,,,Exchange with 58 77 Ha AIC Mission,African Inland Mission,AIM Kijabe,Fully Occupied,,Uphold the status quo,The area is settled,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Kikuyu Escarpment,Kikuyu Escarpment,6 of 1970,,0.0297,,,Extension of Sasaumua Dam water tank,Nairobi City Council,City Council,Developed,,Uphold the status quo,The area is occupied,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyandarua,Kikuyu Escarpment,Kikuyu Escarpment,241 of 1969,,9.18,,,Sasaumua Dam ext,Nairobi City Council,City Council,Developed,,Uphold the status quo,The area is occupied,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Murang'a,Aberdare,Aberdare,171 of 1968,,2751.92,,,National Park,Ministry of Tourism,Department of Wildlife,Developed,,Uphold the status quo,National Park,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyandarua,Aberdare,Aberdare,171 of 1968,,756.78,,,National Park,Ministry of Tourism,Department of Wildlife,Developed,,Uphold the status quo,National Park,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Aberdare,Aberdare,171 of 1968,,15.855 93,,,National Park,Ministry of Tourism,Department of Wildlife,Developed,,Uphold the status quo,National Park,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Kikuyu Escarpment,Kikuyu Escarpment,252 of 1993,,27.09,,,For Sawmill Development,Uttam Singh Brar,Individual,Part of the area under sawmill Other part under horticulture,,Revoke,This was an excision for private gain,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Kiambu,Kiambu,260 of 1995,,29.68,,,Private Development,Pelican Eng Company,Individual,Taken Possesion Illegally,,Revoke,This was an excision for private gain Issuance of the title preceeded degazettement,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Hombe,Mount Kenya,13 of 1976,,9.413,,,Land Exchange,Mr W A Murigu,Individual,Fully Occupied,,Uphold the status quo,This area is settled,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Gathiuru,Kiganjo,106 of 1977,,1.103,,,Elliot s Bakery,Individual,Individual,Fully Occupied,,Uphold the status quo,,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Thika,Kikuyu Escarpment,Kikuyu Escarpment,81 of 1980,,36,,,Farming,Individual,Mama Ngina Kenyatta,Fully Occupied,,Uphold the status quo,This was an excision for private gain,1,annex_01_forest_excisions_with_legal_notices.csv
Central,Kirinyaga,Kamweti,Mount Kenya,61 of 1977,,20 43,,,To settle people displaced by Kirinyaga Technical,Ministry of Education,Individuals displaced during expansion of Kirinyaga Tech Institute,Fully Occupied,,Uphold the status quo,The area is settled,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Nyeri,Nyeri,12 of 1976,,80 67,,,Kimathi Institute,Ministry of Education,Institution,Fully Occupied,,Uphold the status quo,The area is occupied,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Nyeri,Nyeri Hill,68 of 1966,,0 08,,,V H F Repeater Station,Ministry of Information,KBC,Fully Occupied,,Uphold the status quo,The area is occupied,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Kiganjo,Kiganjo,199 of 1987,,20,,,Industrial development,Commissioner of Lands,KCC,Fully Occupied,,Uphold the status quo,The area is occupied,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Keini,Kikuyu Escarpment,54 of 1965,,37 85,,,Farming,Kenyatta's Family,Mama Ngina Kenyatta,Fully Occupied,,Revoke,This was an excision for private gain,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kirinyaga,Kangaita,Mt Kenya,336 of 1965,,56 25,,,Kangaita Tea Factory,Ministry of Agriculture,KTDA,Fully Occupied,,Uphold the status quo,Tea farming is established,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Ragati,Mt Kenya,12 of 1969,,65 25,,,Kagochi Tea Exp Firm,KTDA,KTDA,Fully Occupied,,Uphold the status quo,Tea farming is established,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Muguga,Muguga,62 of 1963,,100 36,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Up-Lands,Kikuyu Escarpment,273 of 1968,,240 39,,,Lari Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Up-Lands,Kikuyu Escarpment,273 of 1968,,781 06,,,Lari Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Muguga,Muguga,73 of 1975,,991 1,,,Muguga Jet Scheme,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Kinare,Kikuyu Escarpment,10 of 1988,,3.522 70,,,Settlement at Kinale/Kamae area,Commissioner of Lands,Landless People,Fully Occupied,,Uphold the status quo but exclude ecologically sensitive areas,The are is settled,2,annex_01_forest_excisions_with_legal_notices.csv
Central,Kirinyaga,Kangaita,Mount Kenya,11 of 1976,,186.5,,,Kangaita Tea Factory,KTDA,KTDA,Fully Occupied,,Uphold the status quo,Tea Farming Established,3,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyandarua,Leshau,Leshau,346 of 1993,,194 7,,,Excision for settlement,P C Central,Landless People,Taken Possesion,,Uphold the status quo but exclude ecologically sensitive areas,The are is settled,3,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Chieni,Chieni,135 of 1966,,615 94,,,Chieni Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,3,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Hombe,Mt Kenya,226 of 1967,,485.63,,,Sagana Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,3,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Hombe,Mt Kenya,309 of 1968,,946 99,,,Warazo Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,3,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyeri,Zaina,Aberdare,168 of 1982,,344 4,,,Extension of Charity excision,Commissioner of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,3,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Kieni,Kikuyu Escarpment,345 of 1993,,33 99,,,For farming on Exchange basis,Mama Ngina Kenyatta,Mama Ngina Kenyatta,Taken Possesion,,Revoke,This was an excision for private gain,3,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Up Lands,Kikuyu Escarpment,63 of 1963,,14 77,,,Kagaa Tea Nursery,Ministry of Agriculture,MOA,Fully Occupied,,Uphold the status quo,The are is settled,3,annex_01_forest_excisions_with_legal_notices.csv
Central,Kiambu,Kiambu,Kiambu,56 of 1999,,25,,,Farming,Webeso Dev,Mr Bedan Mbugua,Taken Possesion EIA not done,,Revoke,This was an excision for private gain,3,annex_01_forest_excisions_with_legal_notices.csv
Central,Nyandarua,Ndaragwa,Aberdare,208 of 1977,,2.773,,,Ndaragua Trading Centre,Nyandarua County Council,Nyandarua County Council,Fully Occupied,,Uphold the status quo,The are is settled,3,annex_01_forest_excisions_with_legal_notices.csv
Coast,Kwale,Kwale,Marenje,50 of 1967,,"1,473.09",,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,Uphold the status quo,The are is settled,3,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Mt Kenya,182 of 1968,,"10,552 26",,,National Park,Ministry of Tourism,Department of Wildlife,,,Uphold the status quo,National Park,3,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Mt Kenya,183 of 1968,,"1,052.21",,,National Park,Ministry of Tourism,Department of Wildlife,,,Uphold the status quo,National Park,3,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Mt Kenya,183 of 1968,,"1,072.44",,,National Park,Ministry of Tourism,Department of Wildlife,,,Uphold the status quo,National Park,3,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Makueni,Kibwezi,Kibwezi,335 of 1968,,3.27,,,Motel Petrol Station,Messrs Kongoni,Individual,Fully Occupied,,Revoke,This was an excision for private gain,3,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Makueni,Kibwezi,Kibwezi,188 of 1970,,2.53,,,BP Petrol Station,Not known,Individual,Fully Occupied,,Revoke,This was an excision for private gain,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Ontulili,Mount Kenya,68 of 1975,,384.1,,,Angaine's farm,Hon J H Angaine,Hon J H Angaine,Fully Occupied,,Revoke,This was an excision for private gain,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Ontulili,Mount Kenya,107 of 1977,,546.2,,,Mr Angaine's farm,Mr Angaine,Individual,Fully Occupied,,Revoke,This was an excision for private gain,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Upper Imenti,51 of 1999,,0.3629,,,Private Development,Individual,Individual,Taken possession,,Revoke,This was an excision for private gain,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Lower Imenti,221 of 1967,,33.18,,,Settlement,Ministry of lands,Individual,Fully Occupied,,Revoke,This was an excision for private gain,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru North,Nyambene,Nyambene,59 of 1968,,11.33,,,Settlement,Ministry of lands,Individual,Fully Occupied,,Revoke,This was an excision for private gain,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru North,Nyambene,Nyambene,59 of 1968,,25.49,,,Settlement,Ministry of lands,Individual,Fully Occupied,,Revoke,This was an excision for private gain,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Meru,106 of 1998,,12.14,,,Housing,Kenya Re,Kenya Re,Taken possession,,Revoke,This was an excision for private gain,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Makueni,Kibwezi,Kibwezi,13 of 1970,,3.69,,,Add to Motel Petrol Station,Messrs Kongoni Motels,Kongoni Motel,Fully Occupied,,Revoke,This was an excision for private gain,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Ontulili,Mount Kenya,222 of 1977,,195.9,,,Ontulili Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Upper Imenti,220 of 1967,,209.22,,,Ngonga Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Upper Imenti,222 of 1967,,219.74,,,Gathuini Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Upper Imenti,223 of 1967,,250.91,,,Thege Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Upper Imenti,223 of 1967,,64.75,,,Nchoro Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Upper Imenti,76 of 1968,,390.53,,,Ruiri Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Upper Imenti,76 of 1968,,22.66,,,Kithoka Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,4,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Meru,Upper Imenti,76 of 1968,,35.21,,,Kithoka Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,5,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru North,Nyambene,Nyambene,185 of 1963,,205.18,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,5,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru North,Nyambene,Nyambene,224 of 1967,,56.65,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,5,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru North,Nyambene,Nyambene,224 of 1967,,115.34,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,5,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Machakos,Kilungu,Kilungu,83 of 1977,,1.268,,,Construction of a school.,Salvation Army P School,Salvation Army Primary School,Fully Occupied,,uphold the status quo,The area is occupied,5,annex_01_forest_excisions_with_legal_notices.csv
Eastern,Meru Central,Ontulili,Mt Kenya,29 of 2001,,796.04,,,Settlement,Relocation of Nguishi Forest squatters to Sirimon,Squatters,Partially occupied EIA not done.,,"Review to authenticate the beneficiaries, who should move to Sirimon and leave Nguisishi for reforestation",The area is settled,5,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong Road Forest,208 of 1971,,118.4,,,ASK Show Ground,Ministry of Agriculture,ASK,Fully Occupied,,uphold the status quo,The area is occupied,5,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong Road,240 of 1969,,17.6,,,City Council depot,Nairobi City Council,City Council,Fully Occupied,,uphold the status quo,The area is occupied,5,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Karura,Karura,310 of 1986,,2.783,,,ICRAF Site,Commissioner of Lands,ICRAF,Taken possession,,uphold the status quo,The area is occupied,5,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong Road,3 of 1978,,3.742,,,,Individual,S M Githungu,Fully Occupied,,Revoke,This was an excision for private gain,5,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Karura,Karura,301 of 1993,,5.9,,,Urban development on Exchange,Joreth Ltd,Individual/Forest Department,Taken possession,,Revoke,This was an excision for private gain,5,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong Road,51 of 1978,,0.3716,,,Substation,E A P & LC,K PLC,Fully Occupied,,uphold the status quo.,The area is occupied.,5,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong Road,31 of 1967,,0.37,,,KPLC Wind Station,KPLC,KPLC,Fully Occupied,,uphold the status quo,The area is occupied,6,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Dagoretti,Dagoretti,123 of 1979,,117.4,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,6,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong Road,261 of 1966,,0.77,,,Hockey Pitch,Duke of York School,Lenana High School,Fully Occupied,,uphold the status quo,The area is occupied,6,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong Road Forest,35 of 1966,,9.44,,,Extension of Met Station,Meteorological Department,Meteorological Department,Fully Occupied,,uphold the status quo,The area is occupied,6,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong Road Forest,18 of 1966,,26.31,,,Kenya Science Teachers College,Ministry of Education,Ministry of Education,Fully Occupied,,uphold the status quo,The area is occupied,6,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong Road Forest,46 of 1965,,4.48,,,Nairobi War Cemetery,Commissioner of Lands,Nairobi City Council,Fully Occupied,,uphold the status quo,The area is occupied,6,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong,79 of 1997,,82,,,Not in record,Not in Record,Not in Record,Taken possession,,Revoke,The area was fraudulently excised as a gazette notice was not published. The area is still forest.,6,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Karura,Karura,97 of 1997,,85,,,Not in record,Not in Record,Not in Record,Taken possession,,Revoke,The area was fraudulently excised as a gazette notice was not published. The area is still forest.,6,annex_01_forest_excisions_with_legal_notices.csv
Nairobi,Nairobi,Ngong,Ngong,44 of 1998,,53.68,,,Not in record,Not in Record,Not in Record,Taken possession,,Revoke,This was an excision for private gain,6,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Longonot,Longonot,123 of 1985,,4773.50,,,National Park,Ministry of Tourism,Department of Wildlife,Taken possession,,uphold the status quo,National park.,6,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Nakuru,Lake Nakuru,185 of 1972,,11210.00,,,National Park,Ministry of Tourism,Department of Wildlife,Taken possession,,uphold the status quo,National park.,6,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Trans Nzoia,Kimothon,Mt Elgon,111 of 1968,,16916.23,,,National Park,Ministry of Tourism,Department of Wildlife,Fully Occupied,,uphold the status quo,National park,6,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Elburgon,Eastern Mau,121 of 1978,,39.64,,,Extension of Elburgon Township,Ministry of Lands,Elburgon Urban Council,Fully Occupied,,uphold the status quo,The area is settled,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Kericho,Kericho,South Western Mau,74 of 1977,,128.5,,,Tea Research Institute,Exchange with Kenya Tea Research,Exchange,Fully Occupied,,uphold the status quo,The area is occupied,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Marop,Marop,302 of 1995,,1.78,,,Church,Full Gospel,Full Gospel,Fully Occupied,,uphold the status quo,The area is occupied,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Elgeyo Marakwet,Kaptagat,Kaptagat,384 of 1994,,161.5,,,For a school & other amenities,DC Iten,Hon Nicholas Kiprono Biwott,Partly occupied,,Revoke,This was an excision for private gain,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Maji Mazuri,Maji Mazuri,490 of 1991,,9.8,,,Settlement,Mr P Barnett,Individual,Fully Occupied,,Revoke,This was an excision for private gain,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Katimok,Katimok,355 of 1995,,3.7,,,Sawmill,Kabarak Farm,Individual,Taken possession,,Revoke,,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Katimok,Katimok,355 of 1995,,0.76,,,Petrol Station,Owner of petrol,Individual,Taken possession,,Revoke,This was an excision for private gain,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Baringo,Katimok,Katimok,17 of 1989,,6.749,,,Exchange with an individual land used by a school,,Individual,Fully Occupied,,uphold the status quo,The area is settled,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Keiyo,Elgeyo,Kapchemutwa,56 of 1968,,35.2,,,Settlement,Ministry of lands,Individual,Fully Occupied,,Revoke,This was an excision for private gain,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Keiyo,Elgeyo,Kapchemutwa,56 of 1968,,7.77,,,Settlement,Ministry of lands,Individual,Fully Occupied,,Revoke,This was an excision for private gain,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Keiyo,Elgeyo,Kapchemutwa,56 of 1968,,6.88,,,Settlement,Ministry of lands,Individual,Fully Occupied,,Revoke,This was an excision for private gain,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Kericho,Kencho,Western Mau,207 of 1971,,7.88,,,Farming,Commissioner of Lands,Individual,Fully Occupied,,Revoke,The area is settled,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Laikipia,Mchongoi,Ol Arabel,7 of 1982,,618.1,,,Settlement,Ministry of Lands,Landless,Fully Occupied,,uphold the status quo.,The area is settled,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Laikipia,Uaso Narok,Uaso Narok,6 of 1987,,12.44,,,Individual allotment,Individual,Individual,Taken possession,,Revoke,This was an excision for private gain,7,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Laikipia,Marmanet,Marmanet,343 of 1993,,45.6,,,Exchange for forestry,Mr Mwen,Individual,Taken possession,,Revoke,This was an excision for private gain,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Marakwet,Elgeyo,Kapchemutwa,493 of 1994,,9.05,,,For farming,Peter Kibet Chesire,Individual,Taken possession,,Revoke,This was an excision for private gain,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Elburgon,Mt Londiani,198 of 1967,,44.92,,,Settlement,Individual request,Individual,Fully Occupied,,uphold the status quo,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Kericho,South Western Mau,169 of 1971,,0.853,,,Farming,Commissioner of Lands,Individual,Fully Occupied,,Revoke,This was an excision for private gain,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Elburgon,Eastern Mau,83 of 1976,,12.42,,,Extension of Township,Ministry of Lands,Individual,Fully Occupied,,uphold the status quo,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Keringet,South Western Mau,37 of 1989,,8.018,,,Individual allotment,,Individual,Fully Occupied,,Revoke,This was an excision for private gain,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,259 of 1967,,27.51,,,Settlement,Ministry of Lands,Individuals,Fully Occupied,,uphold the status quo,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,259 of 1967,,33.58,,,Settlement,Ministry of Lands,Individuals,Fully Occupied,,uphold the status quo.,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,260 of 1967,,52.21,,,Settlement,Ministry of Lands,Individuals,Fully Occupied,,uphold the status quo,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,260 of 1967,,13.35,,,Settlement,Ministry of Lands,Individuals,Fully Occupied,,uphold the status quo,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,260 of 1967,,12.18,,,Settlement,Ministry of Lands,Individuals,Fully Occupied,,uphold the status quo,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,South Nandi,South Nandi,39 of 1968,,24.69,,,Settlement,Ministry of lands,Individuals,Fully Occupied,,uphold the status quo,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,Kapsabet,Ururu,40 of 1968,,44.92,,,Settlement,Ministry of Lands,Individuals,Fully Occupied,,uphold the status quo,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,Kapsabet,Ururu,40 of 1968,,84.18,,,Settlement,Ministry of Lands,Individuals,Fully Occupied,,uphold the status quo,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,142 of 1981,,16.59,,,Settlement,Ministry of Lands,Individuals,Fully Occupied,,uphold the status quo,The area is settled,8,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nandi,North Nandi,North Nandi,143 of 1981,,9.43,,,Settlement,Ministry of Lands,Individuals,Fully Occupied,,uphold the status quo,The area is settled,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Trans Nzoia,Kitale,Kitale,184 of 1963,,2.84,,,Not known,Individual,Individual,Fully Occupied,,Revoke,,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Uasin Gishu,Cegaro,N Tinderet,277 of 1995,,20,,,Sawmill,Muraki,Individual,Taken possession,,Revoke,This was an excision for private gain,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Trans Nzoia,Kitalale,Kitalale,360 of 1986,,312.8,,,Exchange with 372.3 ha added to Mt Elgon,Individual,Individual/Forest Department,Taken possession,,uphold the status quo,The area is settled,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Kericho,Kericho,Western Mau,278 of 1993,,552.3,,,Sambret Tea Estate,Sambret Tea Estate,Individuals,Fully Occupied,,Revoke and recover all land Illegally issued to Brooke Bond,202.0 Ha of forest land maintain as forest,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Kericho,Kericho,Western Mau,278 of 1993,,136.9,,,Tea Estate Development,Sambret Tea Estate,Individuals,Fully Occupied,,Revoke,Area maintain as forest,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Nakuru,Menengai,Menengai,69 of 1970,,0.0929,,,Micro wave station,KPTC,KPTC,Fully Occupied,,uphold the status quo,The area is occupied,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Bomet,Chepalungu,Chepalungu,332 of 1994,,5210.90,,,Settlement,People of Bomet,Landless People,Taken possession,,uphold the status quo but isolate catchment areas,This was an excision for private gain,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Kajiado,Olotokitok,Loitokitok,218 of 1994,,1.86,,,For farming,Mr L Muturi,Individual,,,Revoke,This was an excision for private gain,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Keiyo,Elgeyo,Kapchemutwa,56 of 1968,,59.89,,,Settlement,Ministry of lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Keiyo,Elgeyo,Kapchemutwa,57 of 1968,,76.89,,,Settlement,Ministry of lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Keiyo,Elgeyo,Kapchemutwa,58 of 1968,,55.04,,,Settlement,Ministry of lands,Landless People,Fully Occupied,,uphold the status quo,The area is settled,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Keiyo,Elgeyo,Kapchemutwa,14 of 1985,,147.2,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo.,The area is settled,9,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Keiyo,Kaptagat,Kaptagat,146 of 1985,,56.54,,,Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo.,The area is settled.,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Kericho,Kericho,South Western Mau,251 of 1968,,3798.46,,,Embobomos settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo.,The area is settled,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Kericho,Keringet,South Western Mau,127 of 1988,,4452.00,,,Settlement at Olenguruone,Ministry of Lands,Landless People,Fully Occupied,,Review to set aside catchment areas uphold the status quo but exclude Eco-Sensitive,The area is settled,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Koibatek,Lembus,Lembus,207 of 1965,,946.99,,,Sigoro settlement,Ministry of Lands,Landless People,Fully Occupied,,upholding the status quo.,The area is settled,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Koibatek,Lembus,Lembus,207 of 1965,,781.46,,,Tinet Settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo.,The area is settled,10,annex_01_forest_excisions_with_legal_notices.csv
Rift Valley,Koibatek,Lembus,Lembus,207 of 1965,,4601.38,,,Torongo settlement,Ministry of Lands,Landless People,Fully Occupied,,uphold the status quo.,The area is settled,10,annex_01_forest_excisions_with_legal_notices.csv
